_orig_index,text,clean_text_sample,text_sentiment
25,"#Cryptocrash #bearmarket Theme song  #HODL 

- Because today we hit the bottom __

A_§µ",#Cryptocrash #bearmarket Theme song #HODL - Because today we hit the bottom __ A_§μ,0
26,#DIAMONDHANDS will be tested during this #BearMarket2022,#DIAMONDHANDS will be tested during this #BearMarket2022,0
27,"#Democrats are getting what they want! #DemocratsDeliver pain and suffering 
#stockmarketcrash",#Democrats are getting what they want! #DemocratsDeliver pain and suffering #stockmarketcrash,2
28,#DogeProduct Buy #BearMarket @sodogetip tip @inevitable360 1.00 Doge _,#DogeProduct Buy #BearMarket <USER> tip <USER> 1.00 Doge _,0
29,"#DowJones #stockmarketcrash #Cryptocrash is the ripple effect of trip, fall, crash Joe Biden policies.","#DowJones #stockmarketcrash #Cryptocrash is the ripple effect of trip, fall, crash Joe Biden policies.",2
30,#DowJones is trending in multiple languages on Twitter. #stockmarketcrash is global so who cares abt #January6thHearings when USA DOW Jones is having one of the worst crashes in decades? How's your 401k under Biden?,#DowJones is trending in multiple languages on Twitter. #stockmarketcrash is global so who cares abt #January6thHearings when USA DOW Jones is having one of the worst crashes in decades? How's your 401k under Biden?,2
31,#ETH is gone_¦ð_#Ethereum #cryptocurrencies #bearmarket,#ETH is gone_¦ð_#Ethereum #cryptocurrencies #bearmarket,0
32,"#ElonMusk to replace #ParagAgrawal as #Twitter CEO !

#buythedip #Blockchain #cryptocurrency #stockmarketcrash #nftart",#ElonMusk to replace #ParagAgrawal as #Twitter CEO ! #buythedip #Blockchain #cryptocurrency #stockmarketcrash #nftart,0
33,"#Ethereum is $89 away from going under $1k. With #3AC news and ongoing issue with #Celsius, I__ hoping for a further retrace. I__ counting on @FoxBusiness @CNN @NBCNews @SquawkCNBC to do their FUD about #Crypto so my short positions make some more __. #bearmarket #Bitcoin #Solana","#Ethereum is $89 away from going under $1k. With #3AC news and ongoing issue with #Celsius, I__ hoping for a further retrace. I__ counting on <USER> <USER> <USER> <USER> to do their FUD about #Crypto so my short positions make some more __. #bearmarket #Bitcoin #Solana",2
34,"#FII/FPI (Net Value) (Cr)
-5,871.69

#DII (Net Value) (Cr)
3,980.81

#StockMarketindia #Nifty #banknifty #stockmarketcrash","#FII/FPI (Net Value) (Cr) -5,871.69 #DII (Net Value) (Cr) 3,980.81 #StockMarketindia #Nifty #banknifty #stockmarketcrash",0
35,"#Fixed?
#MIvsGT
#stockmarketcrash",#Fixed? #MIvsGT #stockmarketcrash,0
36,#Goldman Buyback Desk Was Flooded With Orders During Stock Rout #stockmarketcrash,#Goldman Buyback Desk Was Flooded With Orders During Stock Rout #stockmarketcrash,0
37,"#Headlines

*Massive sell-off on #WallStreet. #Nasdaq loses nearly 5%, S&amp;P 500 enters #bearmarket territory

*#SGXNifty indicates a gap down opening for the #IndianMarket

*#Oil prices inches higher, #Brent trades around $120 a barrel","#Headlines *Massive sell-off on #WallStreet. #Nasdaq loses nearly 5%, S&amp;P 500 enters #bearmarket territory *#SGXNifty indicates a gap down opening for the #IndianMarket *#Oil prices inches higher, #Brent trades around $120 a barrel",2
38,"#IncaseYouMissedIt 
The #StockMarket (Dow Jones Industrial Average) is down 935 right now

#stockmarketcrash",#IncaseYouMissedIt The #StockMarket (Dow Jones Industrial Average) is down 935 right now #stockmarketcrash,0
39,"#Inflation is up, the #StockMarket is heading toward a #bearmarket, and the #recession looms ever closer.

Your government remains strong.","#Inflation is up, the #StockMarket is heading toward a #bearmarket, and the #recession looms ever closer. Your government remains strong.",1
40,#InflationPantry challenge. You must use at least 4 things from your pantry and/or fridge close to the expiration date to create a meal. No buying anything new. #inflation #stockmarketcrash,#InflationPantry challenge. You must use at least 4 things from your pantry and/or fridge close to the expiration date to create a meal. No buying anything new. #inflation #stockmarketcrash,1
41,"#JusticeForTheActMan
#JusticeForActMan 
#YouTubeSidesWithHate 
#YoutubeIsCorrupt 
#YouTubeIsAntiLGBT
I swear it's as if @YouTube and @Google are actively making a #stockmarketcrash when just enforcing there tos would haven't made there stock market price tank. #SayNoToHate",#JusticeForTheActMan #JusticeForActMan #YouTubeSidesWithHate #YoutubeIsCorrupt #YouTubeIsAntiLGBT I swear it's as if <USER> and <USER> are actively making a #stockmarketcrash when just enforcing there tos would haven't made there stock market price tank. #SayNoToHate,1
42,"#Markets crack

__Sensex sinks 1000 pts, Nifty down 350 pts

__Fall in line with Asian markets, Japanese shares down 2%

__Fears of a Russian attack on Ukraine led major global indexes to plunge

#stockmarketcrash #RussiaUkraineCrisis","#Markets crack __Sensex sinks 1000 pts, Nifty down 350 pts __Fall in line with Asian markets, Japanese shares down 2% __Fears of a Russian attack on Ukraine led major global indexes to plunge #stockmarketcrash #RussiaUkraineCrisis",1
43,"#Moscow stock exchange down more than 45%.

#investing #news #Russia #stockmarketcrash",#Moscow stock exchange down more than 45%. #investing #news #Russia #stockmarketcrash,0
44,#NASDAQ100 __ #bearmarket Poll Part II. How long do you think it will take until the recovery or trend reversal?,#NASDAQ100 __ #bearmarket Poll Part II. How long do you think it will take until the recovery or trend reversal?,0
45,"#NEARnft #Near #Rose y #Atom hacÃ­a arriba, a pesar del #BearMarket de BTC","#NEARnft #Near #Rose y #Atom hacÃ­a arriba, a pesar del #BearMarket de BTC",0
46,#NFT #BearMarket2022 #EthereumNFTs #OpenSeaNFT,#NFT #BearMarket2022 #EthereumNFTs #OpenSeaNFT,0
47,#NFTCollections that do well during a #bearmarket are ones to watch __,#NFTCollections that do well during a #bearmarket are ones to watch __,1
48,"#NFTs are tanking down an average of 50% there first #Bearmarket 
Hang on it__ going to get messy with #Btc sub 20k flooring inbound.",#NFTs are tanking down an average of 50% there first #Bearmarket Hang on it__ going to get messy with #Btc sub 20k flooring inbound.,2
49,"#NIFTY Top 3 Hourly Sectors
Oil Gas &amp; Consumable Fuels, Metals &amp; Mining &amp; Power
#Bottom 3
Construction, Chemicals &amp; Healthcare
#stockmarkets #stockmarketcrash #stocks #stock #stockstowatch #StocksToBuy #StockMarket #invest #trading","#NIFTY Top 3 Hourly Sectors Oil Gas &amp; Consumable Fuels, Metals &amp; Mining &amp; Power #Bottom 3 Construction, Chemicals &amp; Healthcare #stockmarkets #stockmarketcrash #stocks #stock #stockstowatch #StocksToBuy #StockMarket #invest #trading",1
50,"#NaturalGas on fire today .. won't be surprised if we see shortages in many countries soon !!
#RussiaUkraineConflict 
#worldwar3 
#stockmarketcrash",#NaturalGas on fire today .. won't be surprised if we see shortages in many countries soon !! #RussiaUkraineConflict #worldwar3 #stockmarketcrash,2
51,"#Nifty #stockmarketcrash #NSE #BSE #nifty50  

Do you think nifty will reach around 14500 levels?",#Nifty #stockmarketcrash #NSE #BSE #nifty50 Do you think nifty will reach around 14500 levels?,1
52,"#Nifty Slips Below 52-week low of 15451, Now trading at 15380 #stockmarketcrash","#Nifty Slips Below 52-week low of 15451, Now trading at 15380 #stockmarketcrash",2
53,"#Nifty might be down by 15% from the peak, but the #Nifty50 ttm pe at 19.9 is down almost 30% from peak of 28.2 made in Oct'21. Nifty still might not be a screaming buy, but is surely not expensive right now! #stockmarketcrash #StockMarketindia @piyushchaudhry @itsmerajarshita","#Nifty might be down by 15% from the peak, but the #Nifty50 ttm pe at 19.9 is down almost 30% from peak of 28.2 made in Oct'21. Nifty still might not be a screaming buy, but is surely not expensive right now! #stockmarketcrash #StockMarketindia <USER> <USER>",1
54,"#Nifty reversed lower twice from 16400+ over past 2 days &amp; today broken below 16100. Looks like we are headed lower below 16k b4 we see any meaningful bounce back. US CPI for Apr coming today so we may see DXY spiking up before the data is released.
#StockMarket #stockmarketcrash",#Nifty reversed lower twice from 16400+ over past 2 days &amp; today broken below 16100. Looks like we are headed lower below 16k b4 we see any meaningful bounce back. US CPI for Apr coming today so we may see DXY spiking up before the data is released. #StockMarket #stockmarketcrash,2
55,"#Nifty standing at Jan'22 low, #BhoomiMaya monthly green band (16586 still a S2) and 1hrs bearish target.
Not entering right now with such strong support. Depending on today's close, a positional buy setup is on my radar.
#NIFTYFUTURE #stockmarketcrash","#Nifty standing at Jan'22 low, #BhoomiMaya monthly green band (16586 still a S2) and 1hrs bearish target. Not entering right now with such strong support. Depending on today's close, a positional buy setup is on my radar. #NIFTYFUTURE #stockmarketcrash",1
56,"#NiftyBank #BankNiftyOptions 
Bottom Line : BNF may struggle in crossing 33000 level. Market is still 'Sell on rise' and 33500 is safe level as of now. One can sell 33500 Call for next wk expiry with SL 33760. #Nifty #stockmarkets #stockmarketcrash #stockstowatch #OptionsTrading",#NiftyBank #BankNiftyOptions Bottom Line : BNF may struggle in crossing 33000 level. Market is still 'Sell on rise' and 33500 is safe level as of now. One can sell 33500 Call for next wk expiry with SL 33760. #Nifty #stockmarkets #stockmarketcrash #stockstowatch #OptionsTrading,1
57,#Niftybank Jab girna hi hai toh itna natak kyu?? #stockmarketcrash #StockMarketindia,#Niftybank Jab girna hi hai toh itna natak kyu?? #stockmarketcrash #StockMarketindia,0
58,"#Overvalued #Stocks and #StockMarkets need #reason to #correct themselves

#UkraineRussiaCrisis has given that much needed #Opportunity

#Sensex #Nifty plunging

#stockmarketcrash
#worldwar3 #WW3",#Overvalued #Stocks and #StockMarkets need #reason to #correct themselves #UkraineRussiaCrisis has given that much needed #Opportunity #Sensex #Nifty plunging #stockmarketcrash #worldwar3 #WW3,0
59,#Russia2022 #Aggression #Tactics #WarGames #ww3 #WWIII #stockmarketcrash #RussiaWar #UkraineWar #StopLyingAboutJesus #StopServingFear #KeepServingJesus #KingdomPerspective #KingdomTings #KingdomWomen #AgainstTheCurrent #BingeJesus #GetUsedToDifferent #2AShallNotBeInfringed #2a,#Russia2022 #Aggression #Tactics #WarGames #ww3 #WWIII #stockmarketcrash #RussiaWar #UkraineWar #StopLyingAboutJesus #StopServingFear #KeepServingJesus #KingdomPerspective #KingdomTings #KingdomWomen #AgainstTheCurrent #BingeJesus #GetUsedToDifferent #2AShallNotBeInfringed #2a,0
60,"#RussiaUkraineConflict #worldwar3 

Russia is big supplier of Oil and gas
Russia and Ukraine are exporter of wheat 

So get ready Indians for price hike... On every front... 

#stockmarketcrash is already underway",#RussiaUkraineConflict #worldwar3 Russia is big supplier of Oil and gas Russia and Ukraine are exporter of wheat So get ready Indians for price hike... On every front... #stockmarketcrash is already underway,1
61,#STOCKMARKETCRASH2022 #STOCKMARKETCRASH,#STOCKMARKETCRASH2022 #STOCKMARKETCRASH,0
62,#SayNoToWar to Russia and stop killing innocent people of Ukraine ____ #RussiaUkraineConflict #RussiaUkraineCrisis #Russian #Ukraine #stockmarketcrash #UkraineRussiaConflict,#SayNoToWar to Russia and stop killing innocent people of Ukraine ____ #RussiaUkraineConflict #RussiaUkraineCrisis #Russian #Ukraine #stockmarketcrash #UkraineRussiaConflict,2
63,#StockMarket #bearmarket #StocksToBuy,#StockMarket #bearmarket #StocksToBuy,0
64,"#StockMarket #stockmarketcrash #StocksToBuy #SISI The share price is already too low, I think the valuation of SISI should not be so low, and with the acquisition of new companies this year, I am optimistic that the share price of SISI can rise.","#StockMarket #stockmarketcrash #StocksToBuy #SISI The share price is already too low, I think the valuation of SISI should not be so low, and with the acquisition of new companies this year, I am optimistic that the share price of SISI can rise.",1
65,"#StockMarket #stockmarketcrash How is that #BuildBackBetter going?

@POTUS",#StockMarket #stockmarketcrash How is that #BuildBackBetter going? <USER>,0
66,"#StockMarket has crashed because there's an ancient sacred structure beneath it. The sensex is clearly trying to show the exact location. Time to dig up!
#stockmarketcrash #Cryptocrash",#StockMarket has crashed because there's an ancient sacred structure beneath it. The sensex is clearly trying to show the exact location. Time to dig up! #stockmarketcrash #Cryptocrash,1
67,"#StockMarket is green today but remembers that #stocks could stage multiple rallies before the crash is over.

After the dot-com bubble burst, the #Nasdaq rallied 16 times by more than 10% _ gaining on average 23% each time _ on its way to a 78% decline at its nadir.

#bearmarket","#StockMarket is green today but remembers that #stocks could stage multiple rallies before the crash is over. After the dot-com bubble burst, the #Nasdaq rallied 16 times by more than 10% _ gaining on average 23% each time _ on its way to a 78% decline at its nadir. #bearmarket",1
68,"#StockMarketCrash | ""2022 will be a weak year for markets. Should be prepared for zero returns over the next 12 months"" says Mahesh Nandurkar of #Jefferies.","#StockMarketCrash | ""2022 will be a weak year for markets. Should be prepared for zero returns over the next 12 months"" says Mahesh Nandurkar of #Jefferies.",2
69,"#StockMarketcrash sell off is deep in new ipos like Zomato, Paytm, Nykaa and Nazara tech.","#StockMarketcrash sell off is deep in new ipos like Zomato, Paytm, Nykaa and Nazara tech.",1
70,"#StockMarketindia
If stocks fall solely due to threat of nuclear war, buy the dip;
1. If nuclear war doesn't happen then you make some profits. 
2. If nuclear war happens then you wont need the money.

#buythedip #cryptocurrency #StockMarketindia #stockmarketcrash #WARINUKRAINE","#StockMarketindia If stocks fall solely due to threat of nuclear war, buy the dip; 1. If nuclear war doesn't happen then you make some profits. 2. If nuclear war happens then you wont need the money. #buythedip #cryptocurrency #StockMarketindia #stockmarketcrash #WARINUKRAINE",2
71,#Stockmarketcrash # We can see nifty breaking below 15000 levels in this week itself. Relentless selling happening from FPIs. Every$10 increase in crude oil increases CAD deficit by 14 - 15 billion dollars,#Stockmarketcrash # We can see nifty breaking below 15000 levels in this week itself. Relentless selling happening from FPIs. Every$10 increase in crude oil increases CAD deficit by 14 - 15 billion dollars,2
72,"#Stockmarketcrash.

What type of cash app do you use?",#Stockmarketcrash. What type of cash app do you use?,0
73,"#StocksInFocus
HCL Tech: buys digital banking &amp; wealth specialist Swiss co for CHF 53 mln

Lupin: US FDA nod for Pregabalin

HDFC: hikes RPLR by 30 bps 

Indostar Cap: finds irregularities in its CV folio

Strong rslt: Go Fashion, GE Shipping, Siyaram Silk Mill
#stockmarketcrash","#StocksInFocus HCL Tech: buys digital banking &amp; wealth specialist Swiss co for CHF 53 mln Lupin: US FDA nod for Pregabalin HDFC: hikes RPLR by 30 bps Indostar Cap: finds irregularities in its CV folio Strong rslt: Go Fashion, GE Shipping, Siyaram Silk Mill #stockmarketcrash",1
74,#StocksToBuy #stockmarkets #stockmarketcrash Great news for BA! 1- Future incidents will put the blame on the FAA. 2- This means the 787 are ready for cert. 3- The door problem is solved on the 787. 4- Nobody was expecting the 787 to be ready for delivery now. Is just noise!,#StocksToBuy #stockmarkets #stockmarketcrash Great news for BA! 1- Future incidents will put the blame on the FAA. 2- This means the 787 are ready for cert. 3- The door problem is solved on the 787. 4- Nobody was expecting the 787 to be ready for delivery now. Is just noise!,1
75,"#StocktoInvest #ICICIPRULI

Buy ICICIPRULI at 491
Target Price 740
CMP 490
Tenure above 1 Year

#StockMarketindia #Investing 
#stockmarketcrash",#StocktoInvest #ICICIPRULI Buy ICICIPRULI at 491 Target Price 740 CMP 490 Tenure above 1 Year #StockMarketindia #Investing #stockmarketcrash,0
76,"#ThankYouModiJi for free falling #StockMarket 
____
#StockMarketindia #stockmarketcrash",#ThankYouModiJi for free falling #StockMarket ____ #StockMarketindia #stockmarketcrash,1
77,"#ThursdayThoughts: When there__ a market crash, it__ time to enter &amp; buy, not leave. Many don__ follow this strategy in the #bearmarket.","#ThursdayThoughts: When there__ a market crash, it__ time to enter &amp; buy, not leave. Many don__ follow this strategy in the #bearmarket.",2
78,#Traders how many times have you pressed the wrong button? Buy when you meant to sell/sell when you meant to buy? #stockmarkets #stocks #stockmarketcrash $SPY $JWN $SNOW,#Traders how many times have you pressed the wrong button? Buy when you meant to sell/sell when you meant to buy? #stockmarkets #stocks #stockmarketcrash <TICKER> <TICKER> <TICKER>,2
79,"#UPDATE 
#LTI 
LARSEN TOUBRO INFOTECH 
I WILL ADD AT RANGE 3565-3600 RANGE 
VERY STRONG SUPPORT LEVEL
#NIFTYIT #bearmarket #LTI",#UPDATE #LTI LARSEN TOUBRO INFOTECH I WILL ADD AT RANGE 3565-3600 RANGE VERY STRONG SUPPORT LEVEL #NIFTYIT #bearmarket #LTI,1
80,"#WWIII #worldwar3 #UkraineRussie #Russia #stockmarketcrash #Putin #UkraineRussiaCrisis 

I hope the Ukrainians doesn't try to set up the terms of surrender with Russians at Chernobyl.",#WWIII #worldwar3 #UkraineRussie #Russia #stockmarketcrash #Putin #UkraineRussiaCrisis I hope the Ukrainians doesn't try to set up the terms of surrender with Russians at Chernobyl.,1
81,"#Zomato at #tomato price.
#stockmarketcrash #StockMarketindia",#Zomato at #tomato price. #stockmarketcrash #StockMarketindia,0
82,#america is so divided that there is most likely no way to fix it. don't be surprised if all this division leads to further violence. the #usa ain't that great. #politics #religion #conservatives #liberals #roevwade #stockmarketcrash #theempirewillfall,#america is so divided that there is most likely no way to fix it. don't be surprised if all this division leads to further violence. the #usa ain't that great. #politics #religion #conservatives #liberals #roevwade #stockmarketcrash #theempirewillfall,2
83,"#apple doin lay away plans like we in the 80s again, took all my money out my checking account, gettin overdraft fees in da mail now...(tgj) @BankofAmerica @CNBC @WSJ @NasdaqTech @FoxBusiness #stockmarketcrash","#apple doin lay away plans like we in the 80s again, took all my money out my checking account, gettin overdraft fees in da mail now...(tgj) <USER> <USER> <USER> <USER> <USER> #stockmarketcrash",1
84,#banknifty ready to test and maybe even break 33K. #stockmarketcrash,#banknifty ready to test and maybe even break 33K. #stockmarketcrash,1
85,#bearmarket,#bearmarket,0
86,#bearmarket #BabyBulls floor now at 8.75 __,#bearmarket #BabyBulls floor now at 8.75 __,0
87,#bearmarket 2022 here we go $SPY,#bearmarket 2022 here we go <TICKER>,0
88,"#bearmarket
This is time to buy the dip and hold, accumulate for the day of harvest will come #BTC still your best investment #cryptocrash 
#ghanavsnigeria","#bearmarket This is time to buy the dip and hold, accumulate for the day of harvest will come #BTC still your best investment #cryptocrash #ghanavsnigeria",1
89,#bearmarket __,#bearmarket __,0
90,#bearmarket ____,#bearmarket ____,0
91,#bearmarket _¤¯,#bearmarket _¤ ̄,0
92,"#bearmarket got me excited, mapping out a plan to follow until the next bullrun. There's so much opportunity in #crypto presenting itself. Keep an eye for the floor and stick to your convictions. Keep doing your research too!","#bearmarket got me excited, mapping out a plan to follow until the next bullrun. There's so much opportunity in #crypto presenting itself. Keep an eye for the floor and stick to your convictions. Keep doing your research too!",1
93,#bearmarket i expect retest of 30k by end of jan,#bearmarket i expect retest of 30k by end of jan,0
94,#bearmarket more like the #FOMC is stupid market for hiking .50 rather then another .25 . Bond market owns them . the fed is dead,#bearmarket more like the #FOMC is stupid market for hiking .50 rather then another .25 . Bond market owns them . the fed is dead,2
95,#bearmarket or #BUIDL market ?,#bearmarket or #BUIDL market ?,0
96,#bearmarket or just a correction? #btc,#bearmarket or just a correction? #btc,0
97,#bearmarket  too much red,#bearmarket too much red,0
98,"#bearmarket will continue for a bit. March-April when Fed hikes become imminent and crypto is an escape hatch. In the meantime, one can follow hamsters and take profits. Target-rich environment.","#bearmarket will continue for a bit. March-April when Fed hikes become imminent and crypto is an escape hatch. In the meantime, one can follow hamsters and take profits. Target-rich environment.",1
99,#bitcoin ABC correction happening...C now...then downtrend will continue #bearmarket,#bitcoin ABC correction happening...C now...then downtrend will continue #bearmarket,0
100,"#blockchain, #bearmarket ..bon c'est fini, je ne regarde plus le cours des #crypto avant la fin de l'annÃ©e ..raz le bol.","#blockchain, #bearmarket ..bon c'est fini, je ne regarde plus le cours des #crypto avant la fin de l'annÃ©e ..raz le bol.",0
101,"#breakingnews #breaking #politics #news #trending #cryptocurrency #stockmarketcrash #TrumpRally #BidensAmerica 

I block any promoted Twitter post that comes across my feed.  Join the block #blockpromotedpost movement.",#breakingnews #breaking #politics #news #trending #cryptocurrency #stockmarketcrash #TrumpRally #BidensAmerica I block any promoted Twitter post that comes across my feed. Join the block #blockpromotedpost movement.,2
102,#bulls  come &amp; show your power #stockmarketcrash need you,#bulls come &amp; show your power #stockmarketcrash need you,0
103,#cryptocurrency #Cryptocrash #LUNA #lunacoin #btc #ethereum #bearmarket,#cryptocurrency #Cryptocrash #LUNA #lunacoin #btc #ethereum #bearmarket,0
104,"#dogecoin at 0.05cents _¥µ 5 year chart says it__ on the 1st pump __could we see 0.02 or 0.03 ? 

#buythedip #HODL #BTC #bearmarket #altcoin #Cryptos",#dogecoin at 0.05cents _¥μ 5 year chart says it__ on the 1st pump __could we see 0.02 or 0.03 ? #buythedip #HODL #BTC #bearmarket #altcoin #Cryptos,0
105,#earthquake is every where today :-) in market as well #stockmarketcrash,#earthquake is every where today :-) in market as well #stockmarketcrash,1
106,#equity #stockmarketcrash There is some buying in mid cap IT and textiles stock. Just my observation. Early next week there should be a bounce back in them. I'll use that to exit some of my positions. There is no question of buying as of now. No recommendation.,#equity #stockmarketcrash There is some buying in mid cap IT and textiles stock. Just my observation. Early next week there should be a bounce back in them. I'll use that to exit some of my positions. There is no question of buying as of now. No recommendation.,2
107,"#fintwit #StockMarket #stockmarketcrash #StocksToBuy 

I uploaded a market brief in my YouTube channel at:

discotrader",#fintwit #StockMarket #stockmarketcrash #StocksToBuy I uploaded a market brief in my YouTube channel at: discotrader,0
108,"#heromotocorp fast recover
#NiftyAuto #stockmarketcrash",#heromotocorp fast recover #NiftyAuto #stockmarketcrash,0
